season,x,y,made_shot
2003-04,159,-41,1
2003-04,-6,43,1
2003-04,-41,-8,1
2003-04,177,-18,0
2003-04,194,-37,0
2003-04,-71,-9,0
2003-04,-8,12,1
2003-04,23,33,1
2003-04,-8,8,1
2003-04,-194,12,1
2003-04,-192,63,0
2003-04,-10,-1,1
2003-04,-176,-28,0
2003-04,-31,10,0
2003-04,-8,117,1
2003-04,-163,155,1
2003-04,236,-28,0
2003-04,-5,76,1
2003-04,112,140,0
2003-04,125,-13,0
2003-04,-186,-24,0
2003-04,6,-8,0
2003-04,-3,-8,0
2003-04,0,0,0
2003-04,-181,30,0
2003-04,-131,38,0
2003-04,135,18,1
2003-04,-6,69,0
2003-04,0,0,1
2003-04,0,0,1
2003-04,195,15,1
2003-04,29,69,0
2003-04,-10,214,0
2003-04,153,7,0
2003-04,98,2,0
2003-04,-82,91,0
2003-04,195,89,1
2003-04,169,48,0
2003-04,-158,390,0
2003-04,-123,53,0
2003-04,0,0,0
2003-04,80,26,0
2003-04,-169,-19,0
2003-04,-135,-8,1
2003-04,-5,-13,1
2003-04,-49,35,1
2003-04,195,105,1
2003-04,-181,107,0
2003-04,230,-14,1
2003-04,169,-32,0
2003-04,163,-8,0
2003-04,-186,87,1
2003-04,-10,-8,0
2003-04,207,-21,0
2003-04,156,-14,0
2003-04,6,-13,1
2003-04,-97,33,0
2003-04,-29,13,0
2003-04,-171,0,0
2003-04,-10,-1,1
2003-04,-51,155,0
2003-04,89,148,1
2003-04,-26,206,0
2003-04,-220,107,1
2003-04,5,2,0
2003-04,126,18,0
2003-04,97,232,1
2003-04,-220,120,1
2003-04,151,63,0
2003-04,-54,64,0
2003-04,-6,118,0
2003-04,-138,122,1
2003-04,-28,76,0
2003-04,92,20,0
2003-04,64,84,1
2003-04,15,72,1
2003-04,80,97,0
2003-04,117,22,1
2003-04,0,0,1
2003-04,0,0,0
2003-04,128,25,0
2003-04,225,-1,0
2003-04,0,0,0
2003-04,-232,64,1
2003-04,-131,169,0
2003-04,-215,132,0
2003-04,-107,145,1
2003-04,15,2,1
2003-04,-15,12,1
2003-04,181,-26,0
2003-04,-89,64,0
2003-04,-84,40,0
2003-04,-194,-29,1
2003-04,-20,12,0
2003-04,-8,18,1
2003-04,34,0,0
2003-04,141,22,0
2003-04,11,43,0
2003-04,-118,-13,0
2003-04,-36,17,0
